sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,allow_individual_quote_request,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,enable_googlecheckout,features,gallery,gift_message_available,gift_wrapping_available,gift_wrapping_price,has_options,image,image_label,isspecial,is_quotation,is_returnable,key_specs,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,pdf,pdf_like,price,prod_type,quotation_id,regarding_lead_time,related_tgtr_position_behavior,related_tgtr_position_limit,required_options,short_description,small_image,small_image_label,specialends,special_from_date,special_price,special_to_date,srt,status,tax_class_id,thumbnail,thumbnail_label,unspsc,updated_at,upsell_tgtr_position_behavior,upsell_tgtr_position_limit,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_label,_media_position,_media_is_disabled,_custom_option_store,_custom_option_configurator_header,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_unspsc,_custom_option_row_sort,_model_Num,_option_title,_option_row_title,_option_row_price,_option_row_sku,Discontinued,Navigation_category,Selected_Configurations_row_title,Selected_Configurations_row_price,Selected_Configurations_row_sku,Selected_Configurations_row_qty,Selected_Configurations_row_sort,Add_to_Cart_Flag,Configuration_Flag
34461A,default,Default,simple,Digital Multimeters (DMM),,base,1,,,,2026-06-10 17:33:47,,,,,Keysight 34461A 6.5 digit Truevolt DMM is the industry-standard replacement for the 34401A.,,,,,,,,,,,1,,,Keysight,,Keysight 34461A 6.5 digit Truevolt DMM is the industry-standard replacement for the 34401A.,,"Digital Multimeter, 6.5 Digit, 300 V, 3 A",,,,,"Digital Multimeter, 6.5 Digit, 300 V, 3 A",,,,,,,,,,,,,,Keysight 34461A 6.5 digit Truevolt DMM is the industry-standard replacement for the 34401A.,,,,,,,,Enabled,,,,,2026-06-10 17:33:47,,,digital-multimeter-6-5-digit,/us/en/product/34461A/digital-multimeter-6-5-digit.html,"Catalog, Search",,10,1,1,0,0,1,1,1,,1,1,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34461A,,,,,False,Products,,,,,,0,0
10070D,default,Default,simple,Probes,Keysight,base,1,,,,2021-02-08T04:22:32.192-07:00,,,,,,,,,,,,,,,,1,,,Keysight,,,,"10070D Passive Probe, 1:1, 20 MHz, 1.5 m",,,,,"10070D Passive Probe, 1:1, 20 MHz, 1.5 m",,,,,https://www.keysight.com/us/en/assets/7018-03057/data-sheets/5990-8576.pdf,https://www.keysight.com/us/en/assets/7018-03057/data-sheets/5990-8576.pdf,,,,,,,,,,,,,,,,Enabled,,,,,2021-02-08T04:22:32.192-07:00,,,passive-probe-1-1-20-mhz-1-5-m,/us/en/product/10070D/passive-probe-1-1-20-mhz-1-5-m.html,"Catalog, Search",,10,1,1,0,0,1,1,1,,1,1,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10070D,,,,,False,Products,,,,,,0,0
10069A,default,Default,simple,Accessories,Keysight,base,1,,,,2021-02-08T04:22:32.192-07:00,,,,,This product is no longer sold by Keysight. Please use the links on this page for available support and assistance,,,,,,,,,,,1,,,Keysight,,This product is no longer sold by Keysight. Please use the links on this page for available support and assistance,"10069A,discontinued, obsolete, obsolete products, 10069A,10069,HP10069A",10069A GP-IB FIELD KIT [Obsolete],,,,,10069A GP-IB FIELD KIT [Obsolete],,,,,,,,,,,,,,This product is no longer sold by Keysight. Please use the links on this page for available support and assistance,,,,,,,,Enabled,,,,,2021-02-08T04:22:32.192-07:00,,,gpib-field-kit,/us/en/product/10069A/gpib-field-kit.html,"Catalog, Search",,0,1,1,0,0,1,1,1,,1,0,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10069A,,,,,True,Products,,,,,,0,0
E36312A,default,Default,simple,Power Supplies,,base,1,,,,2026-06-10 17:33:47,,,,,Keysight E36312A triple output programmable DC power supply provides clean power and advanced features.,,,,,,,,,,,1,,,Keysight,,Keysight E36312A triple output programmable DC power supply provides clean power and advanced features.,,"Triple Output DC Power Supply, 80W, 6V/5A, 2x 25V/1A",,,,,"Triple Output DC Power Supply, 80W, 6V/5A, 2x 25V/1A",,,,,,,,,,,,,,Keysight E36312A triple output programmable DC power supply provides clean power and advanced features.,,,,,,,,Enabled,,,,,2026-06-10 17:33:47,,,triple-output-power-supply,/us/en/product/E36312A/triple-output-power-supply.html,"Catalog, Search",,10,1,1,0,0,1,1,1,,1,1,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E36312A,,,,,False,Products,,,,,,0,0
34465A,default,Default,simple,Digital Multimeters (DMM),,base,1,,,,2026-06-10 17:33:47,,,,,"Keysight 34465A 6.5 digit DMM offers unprecedented levels of accuracy, speed, and resolution.",,,,,,,,,,,1,,,Keysight,,"Keysight 34465A 6.5 digit DMM offers unprecedented levels of accuracy, speed, and resolution.",,"Digital Multimeter, 6.5 Digit, Performance",,,,,"Digital Multimeter, 6.5 Digit, Performance",,,,,,,,,,,,,,"Keysight 34465A 6.5 digit DMM offers unprecedented levels of accuracy, speed, and resolution.",,,,,,,,Enabled,,,,,2026-06-10 17:33:47,,,digital-multimeter-6-5-digit-performance,/us/en/product/34465A/digital-multimeter-6-5-digit-performance.html,"Catalog, Search",,10,1,1,0,0,1,1,1,,1,1,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34465A,,,,,False,Products,,,,,,0,0
34470A,default,Default,simple,Digital Multimeters (DMM),,base,1,,,,2026-06-10 17:33:47,,,,,Keysight 34470A 7.5 digit DMM provides high resolution and accuracy for demanding test requirements.,,,,,,,,,,,1,,,Keysight,,Keysight 34470A 7.5 digit DMM provides high resolution and accuracy for demanding test requirements.,,"Digital Multimeter, 7.5 Digit",,,,,"Digital Multimeter, 7.5 Digit",,,,,,,,,,,,,,Keysight 34470A 7.5 digit DMM provides high resolution and accuracy for demanding test requirements.,,,,,,,,Enabled,,,,,2026-06-10 17:33:47,,,digital-multimeter-7-5-digit,/us/en/product/34470A/digital-multimeter-7-5-digit.html,"Catalog, Search",,10,1,1,0,0,1,1,1,,1,1,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34470A,,,,,False,Products,,,,,,0,0
E36313A,default,Default,simple,Power Supplies,,base,1,,,,2026-06-10 17:33:47,,,,,Keysight E36313A programmable triple output DC power supply offers high power capability and accuracy.,,,,,,,,,,,1,,,Keysight,,Keysight E36313A programmable triple output DC power supply offers high power capability and accuracy.,,"Triple Output DC Power Supply, 160W",,,,,"Triple Output DC Power Supply, 160W",,,,,,,,,,,,,,Keysight E36313A programmable triple output DC power supply offers high power capability and accuracy.,,,,,,,,Enabled,,,,,2026-06-10 17:33:47,,,triple-output-power-supply-160w,/us/en/product/E36313A/triple-output-power-supply-160w.html,"Catalog, Search",,10,1,1,0,0,1,1,1,,1,1,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E36313A,,,,,False,Products,,,,,,0,0
34972A,default,Default,simple,Data Acquisition (DAQ),,base,1,,,,2026-06-10 17:33:47,,,,,Keysight 34972A consists of a 3-slot mainframe with a built-in 6.5 digit DMM and active interfaces.,,,,,,,,,,,1,,,Keysight,,Keysight 34972A consists of a 3-slot mainframe with a built-in 6.5 digit DMM and active interfaces.,,LXI Data Acquisition / Data Logger Switch Unit,,,,,LXI Data Acquisition / Data Logger Switch Unit,,,,,,,,,,,,,,Keysight 34972A consists of a 3-slot mainframe with a built-in 6.5 digit DMM and active interfaces.,,,,,,,,Enabled,,,,,2026-06-10 17:33:47,,,lxi-data-acquisition-switch-unit,/us/en/product/34972A/lxi-data-acquisition-switch-unit.html,"Catalog, Search",,10,1,1,0,0,1,1,1,,1,1,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34972A,,,,,False,Products,,,,,,0,0
DSOX1204A,default,Default,simple,Oscilloscopes,,base,1,,,,2026-06-10 17:33:47,,,,,Keysight DSOX1204A InfiniiVision 1000 X-Series oscilloscope offers professional-level performance.,,,,,,,,,,,1,,,Keysight,,Keysight DSOX1204A InfiniiVision 1000 X-Series oscilloscope offers professional-level performance.,,"InfiniiVision 1000 X-Series Oscilloscope, 70/100/200 MHz, 4 Analog Channels",,,,,"InfiniiVision 1000 X-Series Oscilloscope, 70/100/200 MHz, 4 Analog Channels",,,,,,,,,,,,,,Keysight DSOX1204A InfiniiVision 1000 X-Series oscilloscope offers professional-level performance.,,,,,,,,Enabled,,,,,2026-06-10 17:33:47,,,infiniivision-1000-x-series-oscilloscope,/us/en/product/DSOX1204A/infiniivision-1000-x-series-oscilloscope.html,"Catalog, Search",,10,1,1,0,0,1,1,1,,1,1,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSOX1204A,,,,,False,Products,,,,,,0,0
MSOX3024T,default,Default,simple,Oscilloscopes,,base,1,,,,2026-06-10 17:33:47,,,,,Keysight MSOX3024T Mixed Signal Oscilloscope is a high performance 3000T X-Series oscilloscope.,,,,,,,,,,,1,,,Keysight,,Keysight MSOX3024T Mixed Signal Oscilloscope is a high performance 3000T X-Series oscilloscope.,,"Mixed Signal Oscilloscope, 200 MHz, 4 Analog & 16 Digital Channels",,,,,"Mixed Signal Oscilloscope, 200 MHz, 4 Analog & 16 Digital Channels",,,,,,,,,,,,,,Keysight MSOX3024T Mixed Signal Oscilloscope is a high performance 3000T X-Series oscilloscope.,,,,,,,,Enabled,,,,,2026-06-10 17:33:47,,,mixed-signal-oscilloscope-200-mhz,/us/en/product/MSOX3024T/mixed-signal-oscilloscope-200-mhz.html,"Catalog, Search",,10,1,1,0,0,1,1,1,,1,1,,1,1,1,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSOX3024T,,,,,False,Products,,,,,,0,0
