PrimaryKey,Address,City
TB-001,"Ataturk Bulvari No: 12, Ankara",Ankara
TB-002,"Istiklal Caddesi No: 45, Istanbul",Istanbul
TB-003,"Cumhuriyet Meydani No: 8, Izmir",Izmir
TB-004,"Mevlana Caddesi No: 99, Konya",Konya
TB-005,"Talatpasa Bulvari No: 3, Izmir",Izmir
TB-006,"Bagdat Caddesi No: 202, Istanbul",Istanbul
TB-007,"Barbaros Bulvari No: 88, Istanbul",Istanbul
TB-008,"Kenan Evren Bulvari No: 15, Adana",Adana
TB-009,"Gazi Mustafa Kemal Bulvari No: 54, Ankara",Ankara
TB-010,"Ataturk Caddesi No: 77, Bursa",Bursa
TB-011,"Inonu Caddesi No: 120, Izmir",Izmir
TB-012,"Halaskargazi Caddesi No: 34, Istanbul",Istanbul
TB-013,"Ziya Gokalp Caddesi No: 9, Ankara",Ankara
TB-014,"Fevzi Pasa Caddesi No: 150, Istanbul",Istanbul
TB-015,"Mithatpasa Caddesi No: 21, Ankara",Ankara
